category,filename,title,content
business,289.txt,UK economy facing 'major risks',The UK man
business,504.txt,Aids and climate top Davos agenda,Climate ch
business,262.txt,Asian quake hits European shares,Shares in 
business,276.txt,India power shares jump on debut,Shares in 
business,510.txt,Lacroix label bought by US firm,Luxury goo
business,060.txt,Insurance bosses plead guilty,Another th
business,074.txt,Turkey-Iran mobile deal 'at risk',Turkey's i
business,048.txt,Parmalat to return to stockmarket,"Parmalat, "
business,114.txt,WorldCom director admits lying,The former
business,100.txt,Ebbers denies WorldCom fraud,Former Wor
business,128.txt,Qantas sees profits fly to record,Australian
business,470.txt,Saudi investor picks up the Savoy,London's f
business,316.txt,Euronext 'poised to make LSE bid',Pan-Europe
business,302.txt,Cactus diet deal for Phytopharm,A slimming
business,464.txt,Wall Street cool to eBay's profit,Shares in 
business,458.txt,Parmalat founder offers apology,The founde
business,459.txt,'Golden economic period' to end,Ten years 
business,303.txt,Brazil plays down Varig rescue,The Brazil
business,465.txt,WorldCom trial starts in New York,The trial 
business,471.txt,Tsunami slows Sri Lanka's growth,Sri Lanka'
business,317.txt,Christmas shoppers flock to tills,Shops all 
business,129.txt,Iraq to invite phone licence bids,Iraq is to
business,101.txt,Australia rates at four year high,Australia 
business,115.txt,Glaxo aims high after profit fall,GlaxoSmith
business,049.txt,BMW cash to fuel Mini production,Less than 
business,075.txt,EU ministers to mull jet fuel tax,European U
business,061.txt,Further rise in UK jobless total,The UK's j
business,277.txt,Turkey turns on the economic charm,Three year
business,505.txt,China now top trader with Japan,China over
business,263.txt,Split-caps pay £194m compensation,Investors 
business,288.txt,GE sees 'excellent' world economy,US behemot
business,275.txt,Five million Germans out of work,Germany's 
business,261.txt,Booming markets shed few tears,The market
business,507.txt,UK economy ends year with spurt,The UK eco
business,249.txt,Bush budget seeks deep cutbacks,President 
business,088.txt,Metlife buys up Citigroup insurer,US banking
business,077.txt,China had role in Yukos split-up,China lent
business,063.txt,Cars pull down US retail figures,US retail 
business,103.txt,"US insurer Marsh cuts 2,500 jobs","Up to 2,50"
business,117.txt,Car giant hit by Mercedes slump,A slump in
business,498.txt,Millions go missing at China bank,Two senior
business,467.txt,European losses hit GM's profits,General Mo
business,301.txt,Libya takes $1bn in unfrozen funds,Libya has 
business,315.txt,S&N extends Indian beer venture,The UK's b
business,473.txt,Two Nigerian banks set to merge,Nigerian b
business,329.txt,House prices drop as sales slow,House pric
business,328.txt,Bush to get 'tough' on deficit,US preside
business,314.txt,Yukos unit fetches $9bn at auction,A little-k
business,472.txt,China suspends 26 power projects,China has 
business,466.txt,High fuel costs hit US airlines,Two of the
business,300.txt,J&J agrees $25bn Guidant deal,Pharmaceut
business,499.txt,China Aviation seeks rescue deal,Scandal-hi
business,116.txt,Japan bank shares up on link talk,Shares of 
business,102.txt,US company admits Benin bribery,A US defen
business,062.txt,Wembley firm won't make a profit,Shares in 
business,076.txt,Palestinian economy in decline,Despite a 
business,089.txt,Europe blames US over weak dollar,European l
business,248.txt,Survey confirms property slowdown,Government
business,260.txt,Asia shares defy post-quake gloom,Indonesian
business,506.txt,Trial begins of Spain's top banker,The trial 
business,274.txt,Google shares fall as staff sell,Shares in 
business,258.txt,S Korea spending boost to economy,South Kore
business,270.txt,Oil prices reach three-month low,Oil prices
business,502.txt,Algeria hit by further gas riots,Algeria su
business,264.txt,French suitor holds LSE meeting,European s
business,099.txt,"GM, Ford cut output as sales fall",US car fir
business,072.txt,S Korean consumers spending again,South Kore
business,066.txt,German business confidence slides,German bus
business,106.txt,Golden rule 'intact' says ex-aide,Chancellor
business,112.txt,France Telecom gets Orange boost,Strong gro
business,489.txt,Criminal probe on Citigroup deals,Traders at
business,338.txt,Police detain Chinese milk bosses,Chinese po
business,304.txt,Bombardier chief to leave company,Shares in 
business,462.txt,GM issues 2005 profits warning,General Mo
business,476.txt,Saudi NCCI's shares soar,Shares in 
business,310.txt,Strong quarterly growth for Nike,Nike has r
business,477.txt,JP Morgan admits US slavery links,Thousands 
business,311.txt,Stormy year for property insurers,A string o
business,305.txt,Brazil approves bankruptcy reform,A major re
business,463.txt,US economy still growing says Fed,Most areas
business,339.txt,India's Deccan seals $1.8bn deal,Air Deccan
business,488.txt,US budget deficit to reach $368bn,The US bud
business,113.txt,Brussels raps mobile call charges,The Europe
business,107.txt,Liberian economy starts to grow,The Liberi
business,067.txt,FAO warns on impact of subsidies,Billions o
business,073.txt,German growth goes into reverse,Germany's 
business,098.txt,IMF 'cuts' German growth estimate,The Intern
business,503.txt,India's Maruti sees profits jump,India's bi
business,265.txt,Troubled Marsh under SEC scrutiny,The US sto
business,271.txt,Arsenal 'may seek full share listing',Arsenal vi
business,259.txt,Latin America sees strong growth,Latin Amer
business,298.txt,Fannie Mae 'should restate books',US mortgag
business,267.txt,Nasdaq planning $100m share sale,The owner 
business,501.txt,Water firm Suez in Argentina row,A conflict
business,273.txt,Markets fall on weak dollar fears,Rising oil
business,059.txt,Worldcom ex-boss launches defence,Lawyers de
business,065.txt,EU aiming to fuel development aid,European U
business,071.txt,Japan turns to beer alternatives,Japanese b
business,139.txt,German jobless rate at new record,More than 
business,111.txt,Unilever shake up as profit slips,Anglo-Dutc
